"occurrenceID"	"LUP"	"altibelt"	"dem"	"geometry"
"4c6936d8-3d29-44cc-912b-288582fb9b60"	1	1	239	55.44836|-4.66999
"8a123050-ec99-44a3-bd8a-2003fdd5a081"	3	1	52	55.50876|-4.62676
"43c45b49-cce8-4d3c-9cba-9e66bb18b227"	3	1	52	55.50876|-4.62676
"a83707d3-78e7-43a8-8556-c78f89403e66"	3	1	33	55.50798|-4.61948
"5eb6c223-fb36-48b2-adf2-f89f3a4f5f12"	5	0	0	55.52348|-4.66507
"54a96a17-b19b-4ea0-8875-8b7b1cf4febc"				53.31207|-5.11642
"eadb6d25-1fbb-4e95-a10d-27f29341f68b"				53.31207|-5.11642
"a8032a51-99ba-42c0-8475-5644b49e4db8"	6	1	21	55.4544|-4.63043
"abbd3a43-bbd3-4de2-b394-28f8c8d95967"	2	2	444	55.43523|-4.65233
"4dad9395-29bf-4502-9514-dc5c0fe7e082"	6	1	21	55.4544|-4.63043
"6de6bd99-af51-4ecf-bc88-f4c19186da6c"	6	1	21	55.4544|-4.63043
"fb0d0bf5-c506-496f-9d94-f1373a1decc1"	3	1	52	55.50876|-4.62676
"0b80d455-1f12-4c0f-8c75-9feb0bfc3ce1"	6	1	21	55.4544|-4.63043
"9a82bf5c-0625-4654-8ab9-5fb9a02ff49a"	3	1	52	55.50876|-4.62676
"b39c1701-451e-4f77-9085-3943517dad7f"	1	2	487	55.41357|-4.63591
"458e62a5-1dc1-44ce-acae-0a2c6d5a296f"	1	3	543	55.41424|-4.63455
"f86fa53d-4c31-4663-a11a-208bef78f3aa"	2	1	279	55.50402|-4.70936
"ac0dfa0f-8b3e-4cdb-850f-5dcfddfdcf26"	1	2	440	55.45677|-4.64802
"234e9c3a-9b07-4cb5-9934-fd2b5aebe03e"	1	3	503	55.45574|-4.65156
"854bd44f-e92a-40ea-8f48-961b117bdfd2"	6	1	21	55.4544|-4.63043
"a11ee730-7937-4435-bdf4-55259ccd7b7d"	3	1	52	55.50876|-4.62676
"c0f5cae6-2b81-4842-ba22-af7c4e51f7d8"	3	1	52	55.50876|-4.62676
"6736387c-c5d5-4004-8919-c62213d46fcf"	3	1	52	55.50876|-4.62676
"0c0c5d09-8635-4cce-80ff-e31a48626ed5"	3	1	52	55.50876|-4.62676
"1e399ecd-99a9-4d60-b94f-8c7c28ba7174"	1	1	184	55.50912|-4.79225
"4644e9c7-c5a9-4f60-8deb-14a3d93ff7ff"	6	1	21	55.4544|-4.63043
"2160665f-5157-420b-9532-48a0ee32998f"	3	1	52	55.50876|-4.62676
"d4bc571e-4ee5-422d-8e5e-b51c911a019e"	3	1	242	55.45|-4.66667
"d2b0307a-66f1-43b5-9a38-0d4f34323aea"	4	1	17	55.44515|-4.67376
"2c33a0f6-e9a4-4689-898e-7fbaa56782a1"	3	1	52	55.50876|-4.62676
"235a2bb9-bde7-4fd1-89b0-29ff4ec7fc99"	6	1	21	55.4544|-4.63043
"fe4e7435-f235-4da6-b6ca-08e278bc8449"	3	1	52	55.50876|-4.62676
"9ea8b11c-c6ab-4df6-8120-34064a2f16f4"	6	1	21	55.4544|-4.63043
"3ba37b55-73e7-4b1e-ad91-653bfbc5fc55"	6	1	21	55.4544|-4.63043
"7eea6a85-9693-4463-8728-cf21e67068b6"	6	1	21	55.4544|-4.63043
"12a1f716-d10f-4ab6-acfb-3fe6c181ed6c"	3	1	52	55.50876|-4.62676
"ee6811d3-95e0-4e36-a9e9-68d2e51dca6e"	3	2	447	55.43912|-4.65294
"287f2fc0-c1fa-451a-8988-2a7d57b63086"	1	3	585	55.41484|-4.63421
"da3db83f-e137-4a19-99fc-c5e3b38e1515"	3	2	405	55.43943|-4.65607
"99390cab-7f99-469a-a451-fb2b8fb0a72a"	1	3	526	55.45777|-4.65214
"d0245583-380e-416d-9c38-f7e62d2f551c"	6	1	21	55.4544|-4.63043
"bdd66bda-73b4-4ae5-82cf-12a35cb46f5e"	6	1	21	55.4544|-4.63043
"9ce180c8-317d-4e79-989c-d824227374a0"				53.31207|-5.11642
"10a6daf9-98b5-43b6-b24a-f1615e51f952"	6	1	21	55.4544|-4.63043
"03cb3949-6e65-4b20-a8dd-c2099a560968"				53.31207|-5.11642
"ee50f91a-8c40-4073-b65b-9998f326c127"	6	1	21	55.4544|-4.63043
"072b21e2-9ced-4289-b35e-4a9051f87678"				53.31207|-5.11642
"a5344e92-c2ba-4ac8-8ee2-679ab006fe4c"				53.31207|-5.11642
"3e432562-1d73-4646-8ace-64874db5b173"	3	1	52	55.50876|-4.62676
"983602c0-15d4-4522-8fd7-a1bb33cdca86"	3	1	52	55.50876|-4.62676
"ee17870a-7b88-42a6-a7b6-6c395c6d42e7"				53.31207|-5.11642
"d02c54ea-36b3-4238-9ecc-6965ea1bba5f"	6	1	21	55.4544|-4.63043
"17071b06-1b19-48a9-aff3-68e2e0e524d0"	6	1	11	55.25107|-4.48456
"4af7113a-8190-49ad-a97d-4d2b9ab821a1"	6	1	21	55.4544|-4.63043
"f2c9fbc6-d2a6-433d-8915-030a085353af"	6	1	21	55.4544|-4.63043
"0edef272-b399-416f-bbd4-ca4665af6413"	1	3	695	55.44275|-4.63597
"b7d4780e-5445-49f9-9ddb-7fcadffd6689"	3	1	52	55.50876|-4.62676
"c56c1f22-c1ef-4508-b00c-dd510ff463c3"	3	1	52	55.50876|-4.62676
"4a9cfc84-bed0-460d-8368-9cdadf03a4c4"	3	1	52	55.50876|-4.62676
"e2cb7f0c-4280-486d-a3d9-1a56262ccbd6"	6	1	21	55.4544|-4.63043
"7277f67b-353d-45f4-acd7-8c318ac9ab67"	6	1	21	55.4544|-4.63043
"01039159-34c2-4988-8bc8-b9230ebe8c7c"	6	1	21	55.4544|-4.63043
"9a528c72-8295-4452-b35d-9fe1ee714e98"	6	1	21	55.4544|-4.63043
"0018ba98-d668-4881-a3cd-2be96d2c5ef2"	6	1	21	55.4544|-4.63043
"e852a98c-db90-40e4-8014-d6101d0c18c6"				53.31207|-5.11642
"ea2a93e8-57f4-445c-b98d-82c4233fe4cf"	3	1	52	55.50876|-4.62676
"c74de813-78ff-4233-8a39-51ff1c3e082c"	6	1	21	55.4544|-4.63043
"f3e4ffda-ef84-4156-b2bf-2960cb174638"				53.31207|-5.11642
"0e6ade0b-50dd-4f85-a464-24511af5d353"	6	1	21	55.4544|-4.63043
"40d0eb08-7c38-4595-8242-0044510a0f6d"	5	1	3	55.51185|-4.79987
"6b497080-7236-4a82-9c47-0b66e716a0bf"	5	1	5	55.5352|-4.79505
"82761f3f-227c-4b95-8392-b3458ef187f6"	1	3	547	55.50718|-4.68049
"5ddcd981-fe28-478f-8c72-4c9462c982d4"	6	1	21	55.4544|-4.63043
"a03b7f6c-0694-4b64-b157-dffc2a1e336f"	6	1	21	55.4544|-4.63043
"38473987-253a-4538-84c3-28dbc3a64f6b"	3	1	52	55.50876|-4.62676
"729657e7-437f-4395-85a4-6558381d4fa8"				53.31207|-5.11642
"3a4c365e-f86b-426b-ad71-24f381ff4f2b"	3	1	52	55.50876|-4.62676
"f6b7ee67-c127-4a3d-a23f-ee7f66e6a439"				53.31207|-5.11642
"f43ed6cd-5907-447c-8a51-ac34dfc6420f"	2	2	391	55.40892|-4.63597
"bcba24c7-be3e-47be-a956-e692beb581b2"	2	2	391	55.40892|-4.63597
"b21d0961-234c-4444-972f-17730b83cd40"	2	2	391	55.40892|-4.63597
"e0e03982-12c6-46e4-8b13-0b4567478745"	2	2	391	55.40892|-4.63597
"ee0af819-c0ae-4ff8-9f52-d5b8a075d000"	6	1	21	55.4544|-4.63043
"f4e5db7e-f2d8-4e4d-aed6-132801ef5663"	3	1	52	55.50876|-4.62676
"2f55e8ae-2bd2-48b1-9b1e-9e37047b9e90"	2	1	220	55.49858|-4.7122
"f983591a-f6f1-4560-8a45-f15dd1e9050d"	3	2	396	55.44017|-4.65538
"00ce90b6-d0ff-4476-9c53-438a69239cd5"	6	1	21	55.4544|-4.63043
"32dc7ac5-a3e6-47db-b6fb-552e56c895d6"	6	1	21	55.4544|-4.63043
"11a35965-0e50-4fd6-b752-67046eeb959d"	3	1	52	55.50876|-4.62676
"8d187b8a-8be1-4bc6-b3ac-4a8d11eb343d"	3	0	0	55.5035|-4.62184
"2a32f884-e6e7-4683-a894-6324861439ac"				53.31207|-5.11642
"3ddeef07-469b-43d6-8c2a-b5b53c6ae007"				53.31207|-5.11642
"b7ff52e6-5616-4e49-a488-ebc2cc49cf8b"	1	3	547	55.50718|-4.68049
"245b5ede-f1c9-42ef-b097-41952aec249a"	2	2	444	55.43523|-4.65233
"a6b59de4-7ce9-4f31-8d58-7df44574662d"	3	2	456	55.44956|-4.64998
"40b8afc9-4f48-4f2b-8536-a2559df8185c"	3	1	52	55.50876|-4.62676
"9a88258e-23f9-40fd-a660-90401f12fba8"	3	1	52	55.50876|-4.62676
"5ef9e335-04a3-435a-b1ff-40d1cc1479cd"	6	1	21	55.4544|-4.63043
"48718b80-e8a8-4aa6-9715-9510b5f80415"	6	1	21	55.4544|-4.63043
"31ee7c87-75fc-464f-9ca4-e915270e1e96"	3	1	52	55.50876|-4.62676
"7817e218-c3e5-4c03-912c-e3c1981e0ecc"	6	1	21	55.4544|-4.63043
"9b72d391-8150-4605-ab6e-087b939f931b"	6	1	21	55.4544|-4.63043
"019b23fb-510a-4945-ab56-2f6d8be775f3"	6	1	21	55.4544|-4.63043
"b362ca97-11f7-4a67-81d9-3741b5fc4fbc"	6	1	21	55.4544|-4.63043
"8736104a-3afd-465e-8b73-2668eea95871"				53.31207|-5.11642
"d4cb2bdf-d1da-46ff-805e-243004cb9d08"	2	2	444	55.43523|-4.65233
"289d627a-a1da-43f7-b12d-ecd390d5e25e"	6	1	21	55.4544|-4.63043
"f488c478-d738-46f9-a975-ecf839009134"	2	2	444	55.43523|-4.65233
"ff9b4a88-ac6b-4458-8c05-f6bfa823f0b1"	1	2	485	55.43693|-4.65432
"7fd4ab90-40a4-44ca-bde7-2481fbea8806"	1	2	496	55.50599|-4.67924
"f6d2675b-5907-4be9-998a-165a4268884f"				53.31207|-5.11642
"d22f8db4-549d-4e0b-92bc-05be733c4fe5"	6	1	21	55.4544|-4.63043
"78cf2c89-c13f-46cd-b6ef-de68ef022856"	3	1	52	55.50876|-4.62676
"0407f297-6423-418b-83f5-ad237786fafa"	6	1	21	55.4544|-4.63043
"19fa1151-e080-4970-a1ee-c6c35eea6e1c"	3	1	52	55.50876|-4.62676
"a1d22386-d311-43a0-ad8e-c9c190ab4708"	1	3	503	55.45574|-4.65156
"870f29c3-295e-4d93-b5e8-2e35ea0f7c23"	6	1	21	55.4544|-4.63043
"f569ed0c-7ccd-44d7-b465-10db0adf6df0"	6	1	21	55.4544|-4.63043
"a992ed34-d00a-44bb-9062-fe2993a5eac4"	6	1	21	55.4544|-4.63043
"c1c811c5-b2c1-4974-b746-3fc18167a28d"	6	1	21	55.4544|-4.63043
"0d0897e6-d2ba-4f58-b940-7af7ded771a0"				53.31207|-5.11642
"cbe9e074-3f4c-4c1a-a702-639465f6dfdc"	6	1	21	55.4544|-4.63043
"739f0502-3db6-432c-9022-acb65b892fa9"	3	1	52	55.50876|-4.62676
"a3cf6c18-acd3-40cd-a85a-1ea7f132a7cc"	6	1	21	55.4544|-4.63043
"1bedc771-05f8-4591-81a1-41194dbab265"	6	1	21	55.4544|-4.63043
"a3d0cb9a-4405-4117-aeed-f543d10a92ad"	6	1	21	55.4544|-4.63043
"e491d6d8-5701-4287-8514-42ec7e26d347"	3	1	52	55.50876|-4.62676
"55d96ae1-cee2-4122-be10-d612ef11974b"	6	1	21	55.4544|-4.63043
"71bdff5a-b2e5-4e40-8916-f8583b06d18d"	6	1	21	55.4544|-4.63043
"35b6ef0d-8f74-40bb-a253-2ae8c6a84f5c"	6	1	11	55.25107|-4.48456
"570aa451-8d73-45b8-bab9-1c2a293a89cc"	6	1	21	55.4544|-4.63043
"b1084544-ae90-4624-9ebb-d5b88e9307cc"	6	1	21	55.4544|-4.63043
"5c5a4842-41df-4409-9a9e-263733bc52b1"	3	1	52	55.50876|-4.62676
"8cbb5cc0-efe5-4869-8181-3b2a9bbd80de"				53.31207|-5.11642
"ac60a404-b5a3-489a-af0a-a406f1a387b5"	3	1	52	55.50876|-4.62676
"d8f007be-2a57-408a-9c01-ff235f55f6e7"	6	1	21	55.4544|-4.63043
"aae442cc-3f19-45e7-86d8-026fcefd00e7"	3	1	52	55.50876|-4.62676
"b353b5fd-2d54-4b52-bdf7-30b5b627536b"				53.31207|-5.11642
"91f40c48-f614-4900-9e34-fbbe1b86ec6a"	3	1	52	55.50876|-4.62676
"c23489e8-5ec5-438a-b71f-efd7e6eb3dcc"	6	1	21	55.4544|-4.63043
"2a22afa4-d1e4-446b-b8ff-6a9d45fe90e8"	6	1	21	55.4544|-4.63043
"7da1a9c9-111b-4c0d-9b20-e3804d74413a"	5	0	0	55.52348|-4.66507
"5dcef5bf-94ad-4040-9282-ca356a0816cb"	3	1	52	55.50876|-4.62676
"39ae25a5-e1ee-4fb6-8f0e-f61552c31abf"	3	1	33	55.50798|-4.61948
"036aa67c-5e18-4b05-82b6-a3e734148136"				53.31207|-5.11642
"3a5c455d-8e04-4a92-ad28-492c82367dac"	3	0	0	55.5035|-4.62184
"8d4c5363-57d4-4506-aa48-5c573e88d89a"	0	0	0	55.65752|-4.33137
"851ac86f-7925-4489-84c7-a6cc70725084"	3	1	52	55.50876|-4.62676
"de7a2b9b-6cd3-4d33-ba8e-c136b73da8a8"	3	1	52	55.50876|-4.62676
"86a026ba-1266-4e8f-b597-973891aa1e1e"	3	1	52	55.50876|-4.62676
"24a14fe2-f5c0-4cd0-9f76-b1de31a74c02"	1	1	250	55.44773|-4.66946
