"taxonID"	"acceptedNameUsageID"	"scientificName"	"nameAccordingTo"	"kingdom"	"phylum"	"class"	"order"	"family"	"genericName"	"specificEpithet"	"infraspecificEpithet"	"taxonRank"	"vernacularName"	"taxonomicStatus"	"nomenclaturalStatus"	"taxonRemarks"	"informationWithheld"	"taxon_group_id"	"taxon_group"	"taxon_mesogroup"	"taxon_macrogroup"	"synonyms"	"isMarine"	"isFreshwater"	"isTerrestrial"	"isInvasive"	"lifeForm"	"habitatUse"	"species_short"	"lifeStageNat"	"occurrenceStatusNat"	"establishmentMeansNat"	"degreeOfEstablishmentNat"	"threatStatusNat"	"gbifID"	"iucnID"	"gbifNameUsage"	"gbifStatus"	"threatStatusGlobal"	"taxon_group_s"	"taxon_group_concat"	"isNative"	"isEndemic"	"isEndemicPaleo"	"isIntroduced"	"isThreatenedNat"	"isThreatenedGlobal"
"8cc4bbf5-18a4-495d-904f-03f5ba1c1610"	"8cc4bbf5-18a4-495d-904f-03f5ba1c1610"	"Crossandra infundibuliformis (L.) Nees"	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Crossandra"	"infundibuliformis"	""	""	"Crossandra"	"ACCEPTED"	""	""	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"		0	0	1	0	"Hs-ar|dwarf-shrubs|ar|Strates inférieures (understorey) [Inf]"	"Garden"	"Crossandra infundibuliformis "	"adult"	"present"	"introduced"	"casual"	""	6359825		"Crossandra infundibuliformis (L.) Nees"	"ACCEPTED"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	0	0	0	1	0	0
"96a13abe-e741-4699-8155-0dedab1ca40b"	"96a13abe-e741-4699-8155-0dedab1ca40b"	"Graptophyllum pictum (L.) Griff."	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Graptophyllum"	"pictum"	""	""	""	"ACCEPTED"	""	"Varieties exist"	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"	"Graptophyllum pictum  (L.) Griff. var. luridosanguineum Bremek. & Backer"	0	0	1	0	"ar|shrubs|ar|Strates inférieures (understorey) [Inf]"	"Garden"	"Graptophyllum pictum "	"adult"	"present"	"introduced"	"casual"	""	3173137		"Graptophyllum pictum (L.) Griff."	"ACCEPTED"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	0	0	0	1	0	0
"0f178eaa-3052-4da0-9054-bf258bebc459"	"0f178eaa-3052-4da0-9054-bf258bebc459"	"Hemigraphis alternata (Burm.f.) T.Anderson"	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Hemigraphis"	"alternata"	""	""	"Red ivy"	"ACCEPTED"	""	""	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"	"Hemigraphis colorata Hallier f."	0	0	1	0	"Htp|prostrate creepers|Htp|Strates inférieures (understorey) [Inf]"	"Garden"	"Hemigraphis alternata "	"adult"	"present"	"introduced"	"casual"	""	3173034		"Hemigraphis alternata (Burm.fil.) T.Anderson"	"HOMOTYPIC_SYNONYM"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	0	0	0	1	0	0
"459c63f9-8e14-47ea-b5f9-f75cd2f69cb2"	"459c63f9-8e14-47ea-b5f9-f75cd2f69cb2"	"Hypoestes aldabrensis Baker"	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Hypoestes"	"aldabrensis"	""	""	""	"ACCEPTED"	""	""	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"		0	0	1	0	"Htp|prostrate creepers|Htp|Strates inférieures (understorey) [Inf]"	"Raised"	"Hypoestes aldabrensis "	""	"present"	"nativeEndemic"	""	""	3778457		"Hypoestes aldabrensis Baker"	"ACCEPTED"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	1	1	0	0	0	0
"d6e05b98-6d36-4132-aa99-2ee6dfea4285"	"d6e05b98-6d36-4132-aa99-2ee6dfea4285"	"Justicia betonica L."	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Justicia"	"betonica"	""	""	""	"ACCEPTED"	""	"Friedmann (1994): Connue seulement de Darros, en cultivation; souvent considérée comme nuisible. Now recorded commonly cultivated on Mahé (Senterre: see plant gallery)."	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"		0	0	1	1	"Ht|ground herbs|Ht|Strates inférieures (understorey) [Inf]"	"Garden"	"Justicia betonica "	"adult"	"present"	"introduced"	"casual"	""	3173085		"Justicia betonica L."	"ACCEPTED"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	0	0	0	1	0	0
"33560b3b-a21e-4162-93f4-20a6ba816020"	"33560b3b-a21e-4162-93f4-20a6ba816020"	"Justicia brandegeeana Wassh. & L.B.Sm."	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Justicia"	"brandegeeana"	""	""	""	"ACCEPTED"	""	"Semi-arid environments, native to Mexico, commonly found in town Victoria or gardens of Mahé"	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"		0	0	1	0	"Ht|ground herbs|Ht|Strates inférieures (understorey) [Inf]"	"Garden"	"Justicia brandegeeana "	"adult"	"present"	"introduced"	"casual"	""	3173122		"Justicia brandegeeana Wassh. & L.B.Sm."	"ACCEPTED"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	0	0	0	1	0	0
"98bc5aa7-64d4-4e5c-b4f8-f54cd8210d5d"	"98bc5aa7-64d4-4e5c-b4f8-f54cd8210d5d"	"Justicia brasiliana Roth"	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Justicia"	"brasiliana"	""	""	""	"ACCEPTED"	""	"Name not cited by Friedmann (1994); species recorded only from the Botanical Garden of Victoria (Jeffrey 603)"	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"		0	0	1	0	"ar|shrubs|ar|Strates inférieures (understorey) [Inf]"	"Garden"	"Justicia brasiliana "	"adult"	"present"	"introduced"	"casual"	""	3771127		"Justicia brasiliana Roth"	"ACCEPTED"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	0	0	0	1	0	0
"1b2f038e-a5fc-4d14-9ab9-0529952775d0"	"1b2f038e-a5fc-4d14-9ab9-0529952775d0"	"Justicia congestiflora Benoist var. humilior Benoist"	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Justicia"	"congestiflora"	"humilior"	"var."	""	"ACCEPTED"	""	"Assomption, Aldabra, indigène, très rare. Il existe seulement 2 récoltes de cette espèce : Dupont 103, Assomption, juillet 1910 et Hnatiuk 73 07 02, Aldabra, environs de Cinq Cases, 1973 (K). Needs to be reviewed to verify if this is indeed the same plant as in Madagascar."	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"	"Justicia procumbens auct. non L."	0	0	1	0	"Htr|trailers|Htr|Strates inférieures (understorey) [Inf]"	"Raised"	"Justicia congestiflora var. humilior"	""	"present"	"native"	""	""	7814050		"Justicia congestiflora var. humilior Benoist"	"ACCEPTED"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	1	0	0	0	0	0
"7945486a-0778-44c7-8d83-f747ead65a33"	"7945486a-0778-44c7-8d83-f747ead65a33"	"Justicia gardineri Turrill"	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Justicia"	"gardineri"	""	""	""	"ACCEPTED"	""	"The identity of this species is doubdtfull (might be an unidentified introduced species)."	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"		0	0	1	0	"Ht|ground herbs|Ht|Strates inférieures (understorey) [Inf]"	"Second"	"Justicia gardineri "	""	"present"	"nativeEndemic"	""	"EX"	3779648		"Justicia gardineri Turrill"	"ACCEPTED"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	1	1	0	0	1	0
"cea4817a-f52c-4a9e-ae1c-86870f4d59cc"	"cea4817a-f52c-4a9e-ae1c-86870f4d59cc"	"Justicia gendarussa Burm.f."	""	"Plantae"	"Tracheophyta"	"Asteropsida"	"Lamiales"	"Acanthaceae"	"Justicia"	"gendarussa"	""	""	"Ayapana sauvage, Lapsouli, Natchouli"	"ACCEPTED"	""	""	""	10	"Dicotyledon"	"Seed plants"	"Vascular plants"		0	0	1	1	"ar|shrubs|ar|Strates inférieures (understorey) [Inf]"	"Lowland"	"Justicia gendarussa "	"adult"	"present"	"introduced"	"colonising"	""	7447231		"Justicia gendarussa Burm.fil."	"ACCEPTED"	""	"10 | Dicotyledon | Acanthaceae"	"10 | Vascular plants | Seed plants | Dicotyledon"	0	0	0	1	0	0
